,Point 0,Point 1,Point 2,Point 3,Point 4,Point 5,Point 6,Point 7,Point 8
55,84.45599999999999,82.8,90.252,93.564,95.22,102.672,104.32799999999999,79.488,81.14399999999999
56,84.45599999999999,82.8,90.252,93.564,95.22,102.672,104.32799999999999,79.488,81.14399999999999
57,101.01599999999999,76.176,91.908,93.564,83.628,98.532,104.32799999999999,103.5,86.112
58,101.01599999999999,76.176,91.908,93.564,83.628,98.532,104.32799999999999,103.5,86.112
59,91.08,78.66,86.112,101.844,83.628,87.768,89.42399999999999,107.64,91.08
60,91.08,78.66,86.112,101.844,83.628,87.768,89.42399999999999,107.64,91.08
61,86.112,106.812,76.176,96.048,78.66,81.972,98.532,117.576,97.704
62,86.112,106.812,76.176,96.048,78.66,81.972,98.532,117.576,97.704
63,86.112,106.812,76.176,96.048,78.66,81.972,98.532,117.576,97.704
64,74.52,115.092,77.00399999999999,83.628,79.488,74.52,96.048,94.392,105.984
